0005e24211fcf58024cfc812d075360b_1_0;1;0;{/m/04zzb5t,/m/01mf0,/m/017rcq,/m/017rcq,/m/07c1v,/m/07c1v,/m/0157xl,/m/0157xl,/m/086nh,/m/086nh,/m/01mf0,/m/04zzb5t};292455
0005e24211fcf58024cfc812d075360b_1_1;1;1;{/m/07c1v,/m/086nh,/m/017rcq,/m/01mf0,/m/0157xl,/m/017rcq,/m/086nh,/m/04zzb5t,/m/04zzb5t,/m/07c1v,/m/01mf0,/m/0157xl};292455
0005e24211fcf58024cfc812d075360b_1_10;1;10;{/m/04zzb5t,/m/04zzb5t,/m/086nh,/m/017rcq,/m/017rcq,/m/086nh,/m/01mf0,/m/0157xl,/m/0157xl,/m/01mf0,/m/07c1v,/m/07c1v};292455
0005e24211fcf58024cfc812d075360b_1_11;1;11;{/m/04zzb5t,/m/0157xl,/m/01mf0,/m/07c1v,/m/017rcq,/m/01mf0,/m/07c1v,/m/017rcq,/m/086nh,/m/04zzb5t,/m/0157xl,/m/086nh};292455
0005e24211fcf58024cfc812d075360b_1_12;1;12;{/m/04zzb5t,/m/086nh,/m/017rcq,/m/017rcq,/m/086nh,/m/01mf0,/m/0157xl,/m/0157xl,/m/07c1v,/m/07c1v,/m/01mf0,/m/04zzb5t};292455
0005e24211fcf58024cfc812d075360b_1_13;1;13;{/m/017rcq,/m/017rcq,/m/086nh,/m/01mf0,/m/04zzb5t,/m/086nh,/m/07c1v,/m/0157xl,/m/0157xl,/m/04zzb5t,/m/01mf0,/m/07c1v};292455
0005e24211fcf58024cfc812d075360b_1_14;1;14;{/m/0157xl,/m/01mf0,/m/01mf0,/m/04zzb5t,/m/04zzb5t,/m/0157xl,/m/086nh,/m/017rcq,/m/017rcq,/m/086nh,/m/07c1v,/m/07c1v};292455
0005e24211fcf58024cfc812d075360b_1_15;1;15;{/m/04zzb5t,/m/07c1v,/m/086nh,/m/0157xl,/m/017rcq,/m/01mf0,/m/07c1v,/m/017rcq,/m/01mf0,/m/086nh,/m/0157xl,/m/04zzb5t};292455
0005e24211fcf58024cfc812d075360b_1_16;1;16;{/m/01mf0,/m/07c1v,/m/017rcq,/m/04zzb5t,/m/086nh,/m/0157xl,/m/04zzb5t,/m/01mf0,/m/07c1v,/m/017rcq,/m/0157xl,/m/086nh};292455
0005e24211fcf58024cfc812d075360b_1_17;1;17;{/m/01mf0,/m/086nh,/m/017rcq,/m/07c1v,/m/086nh,/m/01mf0,/m/0157xl,/m/0157xl,/m/07c1v,/m/017rcq,/m/04zzb5t,/m/04zzb5t};292455
